timestep,width,height,count_for_type_0,count_for_type_1,count_for_type_2,count_for_type_3,count_for_type_4
0,50,50,2235,91,66,89,19
1,50,50,1665,661,66,89,19
2,50,50,918,1408,66,0,108
3,50,50,427,1853,91,21,108
4,50,50,116,1594,661,21,108
5,50,50,11,952,1408,0,129
6,50,50,65,427,1853,26,129
7,50,50,458,122,1594,197,129
8,50,50,924,48,952,421,155
9,50,50,1257,89,427,401,326
10,50,50,1419,141,122,242,576
11,50,50,1424,187,48,114,727
12,50,50,1351,217,89,25,818
13,50,50,1248,265,141,5,841
14,50,50,1161,299,187,10,843
15,50,50,1072,344,217,21,846
16,50,50,959,392,265,31,853
17,50,50,850,444,299,40,867
18,50,50,767,460,344,45,884
19,50,50,681,462,392,58,907
20,50,50,606,456,444,65,929
21,50,50,564,457,460,54,965
22,50,50,534,430,462,80,994
23,50,50,530,393,456,102,1019
24,50,50,513,354,457,102,1074
25,50,50,547,313,430,89,1121
26,50,50,581,267,393,83,1176
27,50,50,582,250,354,104,1210
28,50,50,604,223,313,101,1259
29,50,50,633,204,267,82,1314
30,50,50,667,157,250,66,1360
31,50,50,687,139,223,55,1396
32,50,50,697,133,204,40,1426
33,50,50,710,147,157,35,1451
34,50,50,701,149,139,45,1466
35,50,50,698,142,133,41,1486
36,50,50,678,138,147,26,1511
37,50,50,664,140,149,20,1527
38,50,50,665,133,142,23,1537
39,50,50,674,114,138,27,1547
40,50,50,672,99,140,29,1560
41,50,50,684,82,133,27,1574
42,50,50,711,58,114,28,1589
43,50,50,734,33,99,33,1601
44,50,50,759,20,82,22,1617
45,50,50,778,17,58,13,1634
46,50,50,799,12,33,17,1639
47,50,50,810,10,20,13,1647
48,50,50,813,6,17,8,1656
49,50,50,817,5,12,6,1660
50,50,50,819,4,10,3,1664
